state,abbr,slug,fee_schedule_short,fee_schedule_full,fee_schedule_agency,fee_schedule_url,pharmacy_basis,settlement_approval_agency_short,settlement_approval_agency_full,settlement_approval_quirk,cms_regional_office,quirk_1,quirk_2,quirk_3,metro_1,metro_2,metro_3,metro_4,metro_5,caselaw_citation,handwrite_recommended,verify_status,sources
Alabama,AL,alabama,Prevailing Rate/Maximum Fee Schedule,"Alabama Workers' Compensation Prevailing Rate/Maximum Fee Schedule for Physicians (and parallel schedules for each service category)","Alabama Department of Labor, Workers' Compensation Division",https://adol.alabama.gov/divisions/workers-compensation/workers-compensation-fee-schedules/,"AWP plus 5% plus dispensing fee (brand: AWP×105% + $11.12; generic: AWP×105% + $14.44) per Administrative Code Rule 480-5-5-.21",Alabama Circuit Court,Alabama Circuit Court (county with jurisdiction over the claim),"Alabama requires all lump-sum settlements to be approved by a circuit court judge, who determines whether the agreement is fair and in the injured worker's best interest before it becomes binding under Ala. Code § 25-5-56.",Atlanta,"Alabama calculates permanent partial disability on either a physical impairment basis or a vocational disability basis; if the worker returns to a wage equal to or greater than the pre-injury wage, the rating is capped at the physician-assigned physical impairment percentage; if not, vocational disability evidence is admissible, which can substantially increase the rating and therefore the settlement value used to calibrate a WCMSA allocation.","The Medical Services Board updates fee schedules annually each March 1, so the applicable rate table for any projected future service depends on the service date, and a WCMSA must reflect the schedule in effect at the time of report completion.","Alabama has no mandatory drug formulary for workers' compensation, so projected pharmacy costs in a WCMSA should be based on the current pharmaceutics fee schedule rates (AWP-anchored).",Birmingham,Montgomery,Mobile,Huntsville,Tuscaloosa,,N,PARTIALLY_CONFIRMED,"https://adol.alabama.gov/divisions/workers-compensation/workers-compensation-fee-schedules/; https://adol.alabama.gov/wp-content/uploads/2023/11/wc_480-5-5-.21.pdf; https://workforce.alabama.gov/documents/2024-pharmaceutics-schedule/"
Alaska,AK,alaska,Alaska Workers' Compensation Medical Fee Schedule,"Official Alaska Workers' Compensation Medical Fee Schedule, amended and effective January 1, 2025 (8 AAC 45)","Alaska Division of Workers' Compensation, Department of Labor and Workforce Development",https://labor.alaska.gov/wc/ak-medical-fee.htm,"AWP minus 10% of original manufacturer NDC (or AWP minus 10% of lowest-cost therapeutic equivalent, whichever is lower); compounded topicals capped at AWP minus 10% prorated by ingredient plus dispensing fee; custom compounds capped at $600 subject to review",Alaska Workers' Compensation Board,"Alaska Workers' Compensation Board, Division of Workers' Compensation, DOLWD","Stipulations and settlements must be approved by the Alaska Workers' Compensation Board to be effective; the Board reviews compliance with statutory requirements before signing off.",Seattle,"An injured worker may change treating clinicians once as a matter of right; a second change requires written approval from the workers' compensation insurer, so the treating clinician roster available to support a WCMSA may be constrained by insurer sign-off rules.","The 2025 fee schedule follows AMA CPT guidelines for service coding; medical expenses are generally covered for up to two years post-injury unless the Workers' Compensation Board orders extended coverage, creating a specific evidentiary threshold for proving long-term future treatment in a WCMSA.","Alaska's 2025 pharmacy benefits manager legislation added transparency requirements for formulary management and drug substitution, which may affect which drugs are dispensed and at what cost during the WCMSA allocation period.",Anchorage,Fairbanks,Juneau,Wasilla,Sitka,,N,PARTIALLY_CONFIRMED,"https://labor.alaska.gov/wc/ak-medical-fee.htm; https://labor.state.ak.us/wc/forms/2025_Alaska_Medical_Fee_Schedule.pdf; https://labor.alaska.gov/wc/bulletins.htm"
Arizona,AZ,arizona,Arizona Physicians' and Pharmaceutical Fee Schedule,"Arizona Physicians' and Pharmaceutical Fee Schedule (RBRVS-based, updated annually effective October 1 through April 30)",Industrial Commission of Arizona (ICA),https://www.azica.gov/arizona-physicians-fee-schedule-year-selector,AWP via Medi-Span (current edition as of dispense date); insurer may elect an alternative basis by October 1 of each year,ICA,Industrial Commission of Arizona,"All full-and-final settlements require ICA approval with signed agreement from the carrier, employer, and worker; once approved, the settlement bars any future reopening of the claim.",San Francisco,"Arizona uses a carrier-initiated IME process under ICA rules; a claimant has only three days after receiving IME notice to file objections, and the ICA rarely issues protective orders against the examination.","Full-and-final settlement authority was added by SB 1322, so not every legacy claim is governed by that pathway; older claims may still resolve through the traditional stipulation process, which affects what future-medical allocation language is needed in the WCMSA.","The pharmaceutical fee schedule allows the insurer to elect an alternative to Medi-Span AWP pricing by filing written notice with the ICA by October 1 each year, so the reimbursement basis in the WCMSA projection period may differ from the default.",Phoenix,Tucson,Mesa,Chandler,Scottsdale,,N,PARTIALLY_CONFIRMED,"https://www.azica.gov/fee-schedule-frequently-asked-questions; https://www.azica.gov/sites/default/files/2024-04/2024%20Fee%20Schedule%20Introduction_FINAL.pdf; https://www.azica.gov/claims-about-independent-medical-evaluations"
Arkansas,AR,arkansas,AWCC Medical Fee Schedule,Arkansas Workers' Compensation Commission Medical Fee Schedule,"Arkansas Workers' Compensation Commission (AWCC), a division of the Arkansas Department of Labor and Licensing",https://labor.arkansas.gov/workers-comp/awcc-rules-advisories-medical-fees/arkansas-medical-fee-schedule/,AWP plus $5.13 dispensing fee per prescription (lesser of fee schedule or provider's usual charge; generic equivalent required when available; PriceAlert/First DataBank is primary AWP reference),AWCC,Arkansas Workers' Compensation Commission,"Settlement proceeds via joint petition filed by both parties; the Commission holds a hearing, takes testimony under oath from both sides, and approves only if the arrangement is in the best interest of both parties; a lump sum may also be approved by mail using Form L.",Dallas,"Arkansas uses the AMA Guides Fourth Edition (exclusive of pain sections and range-of-motion tests) for impairment ratings, which yields different rating values than states using the Sixth Edition; the WCMSA projection must account for the impairment basis that governed the underlying claim.","Preauthorization is required for all non-emergency hospitalizations and for outpatient services projected to exceed $1,000 in billed charges on a single date of service; the medical cost containment program (Rule 30) governs these requirements and shapes which future treatments are documentable.","The AWCC fee schedule is RBRVS-based with Arkansas-specific conversion factors set by the Commission, so reimbursable rates for projected future services follow AWCC conversion factors as the cost basis.",Little Rock,Fort Smith,Fayetteville,Springdale,Jonesboro,,N,PARTIALLY_CONFIRMED,"https://labor.arkansas.gov/workers-comp/awcc-rules-advisories-medical-fees/arkansas-medical-fee-schedule/; https://www.law.cornell.edu/regulations/arkansas/099-00-00-Ark-Code-R-001; https://law.justia.com/codes/arkansas/title-11/chapter-9/subchapter-8/section-11-9-805/"
California,CA,california,OMFS,"California Official Medical Fee Schedule, promulgated under Labor Code Section 5307.1 (Title 8 CCR Sections 9789.10 et seq.)","California Division of Workers' Compensation (DWC), Department of Industrial Relations",https://www.dir.ca.gov/dwc/omfs9904.htm,OMFS Pharmacy Fee Schedule; physician-dispensed drugs billed per OMFS; OTC medications limited to 120% of documented cost up to $250 above cost,WCAB,California Workers' Compensation Appeals Board,A workers' compensation administrative law judge reviews and approves Compromise and Release agreements; the insurer must pay within 30 days of the approval order.,San Francisco,"California's UR/IMR (Utilization Review/Independent Medical Review) system gates all medical-necessity disputes through a mandatory administrative process before any appeal to the WCAB, which shapes what future treatment a clinician can demonstrate is provable and reimbursable.","Injured workers must treat within an approved Medical Provider Network (MPN) when one is established by the employer or insurer; treatment outside the MPN is generally not reimbursable, which directly bounds the clinician roster available to treat conditions projected in the WCMSA.","QME/AME evaluations (Qualified or Agreed Medical Examiner) determine disputed medical-legal opinions on causation and permanent impairment; the rating from that process feeds directly into the settlement value and the future-medical allocation in the WCMSA.",Los Angeles,San Diego,San Francisco,San Jose,Sacramento,,Y,CONFIRMED,"https://www.dir.ca.gov/dwc/omfs9904.htm; https://www.dir.ca.gov/DIRNews/2025/2025-91.html; https://www.dir.ca.gov/dwc/mpn/dwc_mpn_main.html"
Colorado,CO,colorado,Rule 18 Medical Fee Schedule,"Colorado Division of Workers' Compensation Medical Fee Schedule, Rule 18 (7 CCR 1101-3 Rule 18)","Colorado Department of Labor and Employment, Division of Workers' Compensation",https://cdle.colorado.gov/dwc/medical-providers/fee-schedule-rule-18,AWP plus $4.00 dispensing fee for standard prescriptions; compounded medications with three or fewer ingredients reimbursed at AWP minus 50% of each ingredient NDC; gabapentin restricted to pharmacy-only dispensing effective January 1 2025,DOWC ALJ,"Colorado Division of Workers' Compensation, Administrative Law Judge","Full and final settlements must be approved by a DOWC Administrative Law Judge, and the injured worker must complete an advisement process (individual or video) confirming understanding of the settlement terms before the agreement becomes binding.",Denver,"Colorado is the only jurisdiction in the country that uses the AMA Guides to the Evaluation of Permanent Impairment, Third Edition Revised, to assign permanent partial disability ratings; a clinician preparing a WCMSA must project future care costs using the same edition-specific rating framework that anchors the settlement value.","When MMI or impairment rating is disputed, either party may trigger a Division Independent Medical Examination (DIME); the DIME physician's findings carry presumptive weight and are overturnable only by clear and convincing evidence, so the DIME outcome materially shapes the post-MMI treatment horizon the WCMSA must address.","Rule 16 Utilization Standards require prior authorization for any treatment that falls outside the Rule 17 Medical Treatment Guidelines; a clinician writing a WCMSA must account for whether projected future treatment is guideline-consistent or will require ongoing authorization, since non-authorized treatment will not be paid by the carrier after settlement.",Denver,Colorado Springs,Aurora,Fort Collins,Lakewood,,N,CONFIRMED,"https://cdle.colorado.gov/dwc/medical-providers/fee-schedule-rule-18; https://cdle.colorado.gov/medical-fee-schedule; https://www.law.cornell.edu/regulations/colorado/7-CCR-1101-3-17-16"
Connecticut,CT,connecticut,Official CT Practitioner Fee Schedule,Official Connecticut Workers' Compensation Practitioner Fee Schedule,Connecticut Workers' Compensation Commission (WCC),https://portal.ct.gov/wcc/knowledge-base/articles/insurance-and-medical-providers/fee-schedules,"AWP of original NDC minus 10%, or AWP of lowest-cost therapeutic equivalent minus 10%, whichever is lower",WCC,Connecticut Workers' Compensation Commission,"Full and final settlements (called stipulations) require a formal stipulation approval hearing before a commissioner, who must find the agreement conforms to the Act; neither party is bound until the commissioner signs off.",Boston,"If an employer has filed a certified Medical Care Plan (MCP) with the WCC, the injured worker's treating clinician must come from the MCP network for covered specialties; treatment outside that network is not compensable, which controls the pool of clinicians whose records will form the basis for a WCMSA projection.","Connecticut does not mandate a specific edition of the AMA Guides by statute, so permanency ratings default to the most current edition available; the edition applied at the time of a rating can affect the impairment percentage and, downstream, the scope of projected permanent care in a WCMSA.","WCC commissioners have stopped automatic administrative approval of Forms 36 (notices to reduce or discontinue benefits), so disputes over ongoing treatment can remain open longer and must be resolved before a settlement projection reflects the actual stabilized treatment plan.",Bridgeport,New Haven,Hartford,Stamford,Waterbury,,N,PARTIALLY_CONFIRMED,"https://portal.ct.gov/wcc/knowledge-base/articles/insurance-and-medical-providers/fee-schedules; https://portal.ct.gov/wcc/workers-compensation-news/commission-memorandums/2025/memorandum-no-2025-03; https://portal.ct.gov/wcc/workers-compensation-forms/stipulation-and-commutation-forms"
Delaware,DE,delaware,HCPS Fee Schedule,"Delaware Workers' Compensation Health Care Payment System (HCPS) Fee Schedule (covering physicians, qualified health care professionals, hospitals, hospital outpatient facilities, and ambulatory surgery centers)","Delaware Department of Labor, Division of Industrial Affairs, Office of Workers' Compensation",https://labor.delaware.gov/divisions/industrial-affairs/workers-comp/hcps/,NADAC (or WAC if NADAC unavailable) plus $10 dispensing fee; physician-dispensed drugs carry no additional dispensing fee,Industrial Accident Board,Delaware Industrial Accident Board,"Lump-sum commutations require Industrial Accident Board approval, and the Board may impose a 5 percent reduction on the amount due as part of the commutation order.",Philadelphia,"Delaware prohibits use of the term ""Independent Medical Examination"" or ""IME"" in any workers' compensation proceeding or document; clinician-performed employer-requested exams carry a different statutory label and fines apply for violations, which affects how examination opinions are framed in a WCMSA narrative.","The HCPS is an RBRVS- and APC-based system with Delaware-specific rules developed separately from the Medicare payment system; rates are not a straight Medicare multiplier, so WCMSA pricing must use HCPS conversion factors as the cost basis.","Pharmacy reimbursement shifted to a NADAC-based methodology following 2021 legislation; WCMSAs projecting pharmaceutical costs must use NADAC-based pricing for drugs dispensed under the Delaware system.",Wilmington,Dover,Newark,Middletown,Smyrna,,N,PARTIALLY_CONFIRMED,"https://labor.delaware.gov/divisions/industrial-affairs/workers-comp/hcps/; https://industrialaffairs.delaware.gov/en/knowledgebase-employer/how-does-the-hcps-fee-schedule-control-medical-costs; https://www.law.cornell.edu/regulations/delaware/19-Del-Admin-Code-SS-1341-4.0"
District of Columbia,DC,dc,DC WC Medicare-Based Fee Schedule,District of Columbia Workers' Compensation Medical Fee Schedule (set at 113 percent of Medicare reimbursement amounts),"District of Columbia Department of Employment Services, Office of Workers' Compensation",https://does.dc.gov/page/medicare-fee-schedule,VERIFY — DC's medical fee schedule is indexed at 113% of Medicare; no separately published WC pharmacy formulary or AWP-based rule confirmed,DC Office of Workers' Compensation,"District of Columbia Department of Employment Services, Office of Workers' Compensation","Lump-sum settlements require Office of Workers' Compensation approval based on findings that a valid dispute exists regarding compensability or the extent of disability; a stipulation alone does not close any aspect of the claim.",Philadelphia,"DC workers' compensation law is rooted in the federal Longshoremen's and Harbor Workers' Compensation Act framework, which DC adopted and then modified through its own statute (D.C. Code Title 32, Chapter 15); this lineage can create ambiguity about which procedural rules govern, and a WCMSA narrative should be explicit about the applicable DC statutory basis.","The medical fee schedule is directly pegged to Medicare at 113 percent and updated as Medicare updates; because the fee schedule tracks Medicare without a state-specific conversion factor, WCMSA pricing for fee-scheduled services can reference current Medicare rates adjusted by the 1.13 multiplier.","Permanent total disability benefits in DC continue for the life of the worker; for cases involving PTD, the WCMSA projection horizon is life expectancy and the open-ended medical obligation must be reflected fully in the allocation.",Washington,,,,,,N,PARTIALLY_CONFIRMED,"https://does.dc.gov/page/medicare-fee-schedule; https://code.dccouncil.gov/us/dc/council/code/sections/32-1507; https://www.dol.gov/agencies/owcp/dlhwc/dcwca"
Florida,FL,florida,Health Care Provider Reimbursement Manual,"Florida Workers' Compensation Health Care Provider Reimbursement Manual (Rule 69L-7.020, F.A.C.)","Florida Department of Financial Services, Division of Workers' Compensation",https://www.myfloridacfo.com/division/wc/manuals,AWP plus $4.18 dispensing fee (retail pharmacy); physician-dispensed repackaged drugs capped at 112.5% of AWP plus $8.00 dispensing fee; compounded drugs require prior carrier authorization (2024 edition effective January 1 2025),OJCC,"Florida Office of Judges of Compensation Claims, Division of Administrative Hearings","For unrepresented claimants, the Judge of Compensation Claims must affirmatively find that a lump-sum settlement is in the claimant's best interest; for represented claimants, JCC review is required only to approve attorney fees, so many represented settlements proceed without a substantive judicial fairness review.",Atlanta,"Florida statute limits temporary total and temporary partial disability benefits to a combined 104-week maximum, creating a statutory presumption that maximum medical improvement is reached by that point; the MMI date anchors the projection window for post-MMI future medical care in a WCMSA, and cases with long pre-MMI treatment periods may reach MMI by operation of the statute even if the treating clinician has not formally assigned it.","When the authorized treating clinician and a carrier's independent medical examiner disagree on a medical question, either party may request appointment of an Expert Medical Advisor (EMA) from the Division's certified roster; the EMA's opinion carries a presumption of correctness that can only be rebutted by clear and convincing evidence, making EMA conclusions a significant anchor for projected treatment needs.","Florida reimbursement is set at 175% of Medicare allowance for physician services and 210% for surgical procedures; a WCMSA written to Florida fee schedule rates will reflect materially higher projected costs than a CMS-priced allocation if CMS applies Medicare rates.",Jacksonville,Miami,Tampa,Orlando,St. Petersburg,,Y,CONFIRMED,"https://www.myfloridacfo.com/division/wc/manuals; https://www.myfloridacfo.com/docs-sf/workers-compensation-libraries/workers-comp-documents/manuals/health-care-provider/2024-hcp-rm-rule-69l-7-020-final-eff-01-01-25.pdf; https://www.jcc.state.fl.us/jcc/"
